2021-01-25 23:51:05,308 | INFO  | PListStore:[C:\GIT\GitHub\MyAluraProgress\JMS e ActiveMQ - Mensageria com Java\apache-activemq-5.12.0\bin\win64\..\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | WrapperSimpleAppMain
2021-01-25 23:51:05,324 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[C:\GIT\GitHub\MyAluraProgress\JMS e ActiveMQ - Mensageria com Java\apache-activemq-5.12.0\bin\win64\..\..\data\kahadb] | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2021-01-25 23:51:05,557 | INFO  | KahaDB is version 6 | org.apache.activemq.store.kahadb.MessageDatabase | WrapperSimpleAppMain
2021-01-25 23:51:05,569 | INFO  | Recovering from the journal @1:1813 | org.apache.activemq.store.kahadb.MessageDatabase | WrapperSimpleAppMain
2021-01-25 23:51:05,573 | INFO  | Recovery replayed 38 operations from the journal in 0.013 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | WrapperSimpleAppMain
2021-01-25 23:51:05,713 | INFO  | Apache ActiveMQ 5.12.0 (localhost, ID:GuiDB-58212-1611625865588-0:1) is starting | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2021-01-25 23:51:05,728 | INFO  | Listening for connections at: tcp://GuiDB:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2021-01-25 23:51:05,729 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2021-01-25 23:51:05,732 | INFO  | Listening for connections at: amqp://GuiDB:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2021-01-25 23:51:05,733 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2021-01-25 23:51:05,736 | INFO  | Listening for connections at: stomp://GuiDB:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2021-01-25 23:51:05,745 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2021-01-25 23:51:05,748 | INFO  | Listening for connections at: mqtt://GuiDB:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2021-01-25 23:51:05,748 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2021-01-25 23:51:05,860 | INFO  | Listening for connections at ws://GuiDB:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | WrapperSimpleAppMain
2021-01-25 23:51:05,860 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2021-01-25 23:51:05,862 | INFO  | Apache ActiveMQ 5.12.0 (localhost, ID:GuiDB-58212-1611625865588-0:1) started | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2021-01-25 23:51:05,862 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2021-01-25 23:51:06,143 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | WrapperSimpleAppMain
2021-01-25 23:51:06,143 | INFO  | ActiveMQ Jolokia REST API available at http://0.0.0.0:8161/api/jolokia/ | org.apache.activemq.web.WebConsoleStarter | WrapperSimpleAppMain
